SetID	P.value	N.Marker.All	N.Marker.Test	MAC	m	Method.bin	MAP	p_adj
MAP3K6	0.0287510866428688	15	15	56	54	QA	-1	0.143755433214344
EPCAM	0.649034691119209	1	1	4	4	ER	4.69839017703905e-07	0.811293363899011
MSH2	0.156500547940423	8	8	15	15	ER	1.39557279530748e-20	0.391251369851057
MSH6	0.949600057591441	15	15	32	25	ER.A	-1	0.949600057591441
PMS1	0.914003627010392	11	11	36	36	ER.A	-1	0.949600057591441
MLH1	0.00306802814926896	11	11	16	15	ER	2.88119137361874e-16	0.0306802814926896
MSH3	0.287026276006132	19	19	65	65	QA	-1	0.478377126676887
CTNNA1	0.553259254766535	5	5	5	5	ER	4.52447504996176e-08	0.790370363952192
PMS2	0.213337045097818	10	10	17	16	ER	6.68649510190103e-19	0.426674090195635
CDH1	0.0994078779762529	6	6	19	19	ER	4.34470303691599e-26	0.331359593254176
