SetID	P.value	N.Marker.All	N.Marker.Test	MAC	m	Method.bin	MAP	p_adj
MAP3K6	0.121355898544013	15	15	56	54	QA	-1	0.595304675261628
EPCAM	0.649034691119209	1	1	4	4	ER	4.69839017703905e-07	0.811293363899011
MSH2	0.297652337630814	8	8	15	15	ER	1.39557279530748e-20	0.595304675261628
MSH6	1	15	15	32	25	ER.A	-1	1
PMS1	0.816032604497731	11	11	36	36	ER.A	-1	0.906702893886368
MLH1	0.0196162717806428	11	11	16	15	ER	1.24126872740173e-20	0.196162717806428
MSH3	0.211307573330411	19	19	65	65	QA	-1	0.595304675261628
CTNNA1	0.554745024228969	5	5	5	5	ER	1.06687158305273e-09	0.79249289175567
PMS2	0.377705342690466	10	10	17	16	ER	1.94142662048649e-20	0.629508904484111
CDH1	0.285164775875281	6	6	19	19	ER	8.47337205121667e-28	0.595304675261628
