SetID	P.value	N.Marker.All	N.Marker.Test	MAC	m	Method.bin	MAP	p_adj
MAP3K6	0.121355899	15	15	56	54	QA	-1	0.595304675
EPCAM	0.649034691	1	1	4	4	ER	4.70E-07	0.811293364
MSH2	0.297652338	8	8	15	15	ER	1.40E-20	0.595304675
MSH6	1	15	15	32	25	ER.A	-1	1
PMS1	0.816032604	11	11	36	36	ER.A	-1	0.906702894
MLH1	0.019616272	11	11	16	15	ER	1.24E-20	0.196162718
MSH3	0.211307573	19	19	65	65	QA	-1	0.595304675
CTNNA1	0.554745024	5	5	5	5	ER	1.07E-09	0.792492892
PMS2	0.377705343	10	10	17	16	ER	1.94E-20	0.629508904
CDH1	0.285164776	6	6	19	19	ER	8.47E-28	0.595304675
